,Title,FPrice
0,"REDMI 10 Power (Power Black, 128 GB)","₹12,490"
1,"Redmi Note 5 (Black, 64 GB)","₹11,999"
2,"Redmi 10 Prime (Astral White, 64 GB)","₹11,290"
3,"Redmi 10 Prime (Phantom Black, 64 GB)","₹11,390"
4,"REDMI 10 Power (Sporty Orange, 128 GB)","₹14,990"
5,"Redmi Note 7S (Ruby Red, 32 GB)","₹11,999"
6,"MI4 (White, 16 GB)","₹14,999"
7,"Redmi Note 5 Pro (Black, 64 GB)","₹14,999"
8,"Redmi Note 7 (Onyx Black, 32 GB)","₹12,999"
9,"12 (Silver, 128 GB)","₹11,399"
10,"Redmi 6 (Rose Gold, 64 GB)","₹10,499"
11,"Redmi Note 6 Pro (Rose Gold, 64 GB)","₹11,383"
12,"Redmi Note 5 (Gold, 32 GB)","₹10,999"
13,"Redmi Note 4 (Black, 32 GB)","₹10,649"
14,"Redmi 8 (Emerald Green, 64 GB)","₹10,999"
15,"Redmi Note 4 (Gold, 64 GB)","₹12,749"
16,"Redmi Note 4 (Gold, 32 GB)","₹10,999"
17,"Redmi 6 (Black, 64 GB)","₹10,499"
18,"Redmi Y2 (Gold, 32 GB)","₹10,499"
19,"Redmi Note 7S (Astro Moonlight White, 32 GB)","₹11,999"
20,"Redmi Note 7S (Onyx Black, 64 GB)","₹13,999"
21,"Redmi 6 (Blue, 64 GB)","₹10,499"
22,"Redmi Note 7S (Ruby Red, 64 GB)","₹13,999"
23,"Redmi Note 7S (Onyx Black, 32 GB)","₹11,999"
