,Movie Title ,Rating
0,The Shawshank Redemption,9.2
1,The Godfather,9.2
2,The Dark Knight,9
3,The Godfather Part II,9
4,12 Angry Men,9
5,Schindler's List,8.9
6,The Lord of the Rings: The Return of the King,8.9
7,Pulp Fiction,8.8
8,The Lord of the Rings: The Fellowship of the Ring,8.8
9,"Il buono, il brutto, il cattivo",8.8
10,Forrest Gump,8.8
11,Fight Club,8.7
12,The Lord of the Rings: The Two Towers,8.7
13,Inception,8.7
14,The Empire Strikes Back,8.7
15,The Matrix,8.7
16,GoodFellas,8.7
17,One Flew Over the Cuckoo's Nest,8.6
18,Se7en,8.6
19,Shichinin no samurai,8.6
20,It's a Wonderful Life,8.6
21,The Silence of the Lambs,8.6
22,Cidade de Deus,8.6
23,Saving Private Ryan,8.6
24,Interstellar,8.6
25,La vita è bella,8.6
26,The Green Mile,8.6
27,Star Wars,8.5
28,Terminator 2: Judgment Day,8.5
29,Back to the Future,8.5
30,Sen to Chihiro no kamikakushi,8.5
31,The Pianist,8.5
32,Psycho,8.5
33,Gisaengchung,8.5
34,Léon,8.5
35,The Lion King,8.5
36,Gladiator,8.5
37,American History X,8.5
38,The Departed,8.5
39,The Usual Suspects,8.5
40,The Prestige,8.5
41,Whiplash,8.5
42,Casablanca,8.5
43,Hotaru no haka,8.5
44,Seppuku,8.5
45,The Intouchables,8.5
46,Modern Times,8.4
47,Once Upon a Time in the West,8.4
48,Rear Window,8.4
49,Nuovo Cinema Paradiso,8.4
50,Alien,8.4
51,City Lights,8.4
52,Apocalypse Now,8.4
53,Memento,8.4
54,Django Unchained,8.4
55,Raiders of the Lost Ark,8.4
56,WALL·E,8.4
57,The Lives of Others,8.4
58,Sunset Blvd.,8.4
59,Paths of Glory,8.4
60,The Shining,8.4
61,The Great Dictator,8.4
62,Avengers: Infinity War,8.4
63,Witness for the Prosecution,8.4
64,Aliens,8.3
65,Spider-Man: Into the Spider-Verse,8.3
66,American Beauty,8.3
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3
68,The Dark Knight Rises,8.3
69,Oldeuboi,8.3
70,Inglourious Basterds,8.3
71,Amadeus,8.3
72,Coco,8.3
73,Toy Story,8.3
74,Joker,8.3
75,Braveheart,8.3
76,Das Boot,8.3
77,Avengers: Endgame,8.3
78,Mononoke-hime,8.3
79,Once Upon a Time in America,8.3
80,Good Will Hunting,8.3
81,Kimi no na wa.,8.3
82,3 Idiots,8.3
83,Singin' in the Rain,8.3
84,Requiem for a Dream,8.3
85,Toy Story 3,8.3
86,Tengoku to jigoku,8.3
87,Capharnaüm,8.3
88,Star Wars: Episode VI - Return of the Jedi,8.3
89,Eternal Sunshine of the Spotless Mind,8.3
90,2001: A Space Odyssey,8.3
91,Reservoir Dogs,8.3
92,Idi i smotri,8.3
93,Jagten,8.3
94,Citizen Kane,8.3
95,M - Eine Stadt sucht einen Mörder,8.3
96,Lawrence of Arabia,8.3
97,North by Northwest,8.2
98,Vertigo,8.2
99,Le fabuleux destin d'Amélie Poulain,8.2
100,Top Gun: Maverick,8.2
101,The Apartment,8.2
102,Ikiru,8.2
103,A Clockwork Orange,8.2
104,Double Indemnity,8.2
105,Full Metal Jacket,8.2
106,Scarface,8.2
107,Hamilton,8.2
108,Incendies,8.2
109,To Kill a Mockingbird,8.2
110,The Sting,8.2
111,Heat,8.2
112,Up,8.2
113,Jodaeiye Nader az Simin,8.2
114,Taxi Driver,8.2
115,Metropolis,8.2
116,L.A. Confidential,8.2
117,Die Hard,8.2
118,Snatch,8.2
119,Indiana Jones and the Last Crusade,8.2
120,Ladri di biciclette,8.2
121,Taare Zameen Par,8.2
122,1917,8.2
123,Der Untergang,8.2
124,Dangal,8.2
125,Per qualche dollaro in più,8.2
126,Batman Begins,8.2
127,The Kid,8.2
128,Some Like It Hot,8.2
129,The Father,8.2
130,All About Eve,8.2
131,Green Book,8.2
132,The Wolf of Wall Street,8.2
133,Judgment at Nuremberg,8.2
134,Ran,8.2
135,Casino,8.2
136,Pan's Labyrinth,8.2
137,The Truman Show,8.2
138,Unforgiven,8.2
139,There Will Be Blood,8.2
140,The Sixth Sense,8.2
141,Shutter Island,8.2
142,A Beautiful Mind,8.2
143,Jurassic Park,8.1
144,Yôjinbô,8.1
145,The Treasure of the Sierra Madre,8.1
146,Monty Python and the Holy Grail,8.1
147,The Great Escape,8.1
148,Spider-Man: No Way Home,8.1
149,No Country for Old Men,8.1
150,Kill Bill: Vol. 1,8.1
151,Rashômon,8.1
152,The Thing,8.1
153,Finding Nemo,8.1
154,The Elephant Man,8.1
155,Chinatown,8.1
156,Raging Bull,8.1
157,V for Vendetta,8.1
158,Gone with the Wind,8.1
159,"Lock, Stock and Two Smoking Barrels",8.1
160,Inside Out,8.1
161,Dial M for Murder,8.1
162,El secreto de sus ojos,8.1
163,Hauru no ugoku shiro,8.1
164,"Three Billboards Outside Ebbing, Missouri",8.1
165,The Bridge on the River Kwai,8.1
166,Trainspotting,8.1
167,Prisoners,8.1
168,Warrior,8.1
169,Fargo,8.1
170,Gran Torino,8.1
171,Tonari no Totoro,8.1
172,Catch Me If You Can,8.1
173,Million Dollar Baby,8.1
174,Bacheha-Ye aseman,8.1
175,Blade Runner,8.1
176,The Gold Rush,8.1
177,Before Sunrise,8.1
178,12 Years a Slave,8.1
179,Klaus,8.1
180,Harry Potter and the Deathly Hallows - Part 2,8.1
181,On the Waterfront,8.1
182,Ben-Hur,8.1
183,Gone Girl,8.1
184,The Grand Budapest Hotel,8.1
185,Smultronstället,8.1
186,The General,8.1
187,The Third Man,8.1
188,In the Name of the Father,8.1
189,The Deer Hunter,8.1
190,Barry Lyndon,8.1
191,Hacksaw Ridge,8.1
192,Le salaire de la peur,8.1
193,Salinui chueok,8.1
194,Sherlock Jr.,8.1
195,Relatos salvajes,8.1
196,Mr. Smith Goes to Washington,8.1
197,Mad Max: Fury Road,8.1
198,Det sjunde inseglet,8.1
199,Mary and Max.,8.1
200,How to Train Your Dragon,8.1
201,Room,8.1
202,"Monsters, Inc.",8.1
203,Jaws,8.1
204,The Big Lebowski,8.1
205,Dead Poets Society,8.1
